遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
威力彩,115000001,2026/01/01,97678700,976787,427204455,7,14,22,23,31,35,01
威力彩,115000002,2026/01/05,116182300,1161823,470513919,11,14,19,25,34,37,04
威力彩,115000003,2026/01/08,116373300,1163733,509627133,7,17,25,26,27,33,03
威力彩,115000004,2026/01/12,136942500,1369425,513266465,1,9,14,17,33,38,03
威力彩,115000005,2026/01/15,148826700,1488267,565792949,8,10,16,26,31,38,05
威力彩,115000006,2026/01/19,176491100,1764911,630430853,10,16,20,23,35,37,05
威力彩,115000007,2026/01/22,177645600,1776456,693942032,11,17,29,30,34,35,06
威力彩,115000008,2026/01/26,229275700,2292757,785564566,3,8,12,26,32,38,04
威力彩,115000009,2026/01/29,257143500,2571435,875971690,5,10,15,17,23,25,05
